date,value
2016-07-26,1.252
2016-07-27,1.251
2016-07-28,1.242
2016-07-29,1.244
2016-08-01,1.241
2016-08-02,1.241
2016-08-03,1.248
2016-08-04,1.245
2016-08-05,1.242
2016-08-08,1.253
2016-08-09,1.252
2016-08-10,1.239
2016-08-11,1.243
2016-08-12,1.245
2016-08-16,1.241
2016-08-17,1.255
2016-08-18,1.252
2016-08-19,1.255
2016-08-22,1.258
2016-08-23,1.256
2016-08-24,1.26
2016-08-25,1.266
2016-08-26,1.27
2016-08-29,1.287
2016-08-30,1.29
2016-08-31,1.303
2016-09-01,1.312
2016-09-02,1.307
2016-09-05,1.296
2016-09-06,1.293
2016-09-07,1.277
2016-09-08,1.282
2016-09-09,1.304
2016-09-12,1.321
2016-09-13,1.32
2016-09-19,1.321
2016-09-20,1.317
2016-09-21,1.316
2016-09-22,1.298
2016-09-23,1.296
2016-09-26,1.298
2016-09-27,1.301
2016-09-28,1.3
2016-09-29,1.302
2016-09-30,1.284
2016-10-04,1.297
2016-10-05,1.31
2016-10-06,1.316
2016-10-07,1.318
2016-10-10,1.327
2016-10-11,1.342
2016-10-12,1.338
2016-10-13,1.326
2016-10-14,1.328
2016-10-17,1.343
2016-10-18,1.344
2016-10-19,1.347
2016-10-20,1.349
2016-10-21,1.359
2016-10-24,1.363
2016-10-25,1.375
2016-10-26,1.378
2016-10-27,1.378
2016-10-28,1.384
2016-10-31,1.374
2016-11-01,1.377
2016-11-02,1.368
2016-11-03,1.367
2016-11-04,1.368
2016-11-07,1.368
2016-11-08,1.364
2016-11-09,1.352
2016-11-10,1.363
2016-11-11,1.376
2016-11-14,1.403
2016-11-15,1.396
2016-11-16,1.415
2016-11-17,1.431
2016-11-18,1.45
2016-11-21,1.452
2016-11-22,1.452
2016-11-23,1.468
2016-11-24,1.498
2016-11-25,1.505
2016-11-28,1.493
2016-11-29,1.487
2016-11-30,1.479
2016-12-01,1.481
2016-12-02,1.476
2016-12-05,1.453
2016-12-06,1.455
2016-12-07,1.452
2016-12-08,1.444
2016-12-09,1.447
2016-12-12,1.444
2016-12-13,1.423
2016-12-14,1.409
2016-12-15,1.414
2016-12-16,1.41
2016-12-19,1.408
2016-12-20,1.403
2016-12-21,1.401
2016-12-22,1.396
2016-12-23,1.401
2016-12-26,1.406
2016-12-27,1.402
2016-12-28,1.392
2016-12-29,1.386
2016-12-30,1.386
2017-01-02,1.378
2017-01-03,1.366
2017-01-04,1.34
2017-01-05,1.323
2017-01-06,1.34
2017-01-09,1.349
2017-01-10,1.333
2017-01-11,1.333
2017-01-12,1.303
2017-01-13,1.314
2017-01-16,1.323
2017-01-17,1.32
2017-01-18,1.329
2017-01-19,1.333
2017-01-20,1.326
2017-01-23,1.326
2017-01-24,1.328
2017-01-25,1.339
2017-01-26,1.351
2017-01-31,1.344
2017-02-01,1.342
2017-02-02,1.331
2017-02-03,1.331
2017-02-06,1.319
2017-02-07,1.31
2017-02-08,1.306
2017-02-09,1.304
2017-02-10,1.313
2017-02-13,1.314
2017-02-14,1.311
