date,code,label,close,source,fetched_at
2023-01-02,0001,KOSPI,2225.67,kis_api,2026-08-17T02:56:51+00:00
2023-01-02,000660,SK하이닉스,75700.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-03,0001,KOSPI,2218.68,kis_api,2026-08-17T02:56:51+00:00
2023-01-03,000660,SK하이닉스,75600.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-04,0001,KOSPI,2255.98,kis_api,2026-08-17T02:56:51+00:00
2023-01-04,000660,SK하이닉스,81000.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-05,0001,KOSPI,2264.65,kis_api,2026-08-17T02:56:51+00:00
2023-01-05,000660,SK하이닉스,81400.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-06,0001,KOSPI,2289.97,kis_api,2026-08-17T02:56:51+00:00
2023-01-06,000660,SK하이닉스,83100.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-09,0001,KOSPI,2350.19,kis_api,2026-08-17T02:56:51+00:00
2023-01-09,000660,SK하이닉스,86000.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-10,0001,KOSPI,2351.31,kis_api,2026-08-17T02:56:51+00:00
2023-01-10,000660,SK하이닉스,86500.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-11,0001,KOSPI,2359.53,kis_api,2026-08-17T02:56:51+00:00
2023-01-11,000660,SK하이닉스,87300.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-12,0001,KOSPI,2365.1,kis_api,2026-08-17T02:56:51+00:00
2023-01-12,000660,SK하이닉스,86800.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-13,0001,KOSPI,2386.09,kis_api,2026-08-17T02:56:51+00:00
2023-01-13,000660,SK하이닉스,85700.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-16,0001,KOSPI,2399.86,kis_api,2026-08-17T02:56:51+00:00
2023-01-16,000660,SK하이닉스,85800.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-17,0001,KOSPI,2379.39,kis_api,2026-08-17T02:56:51+00:00
2023-01-17,000660,SK하이닉스,86000.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-18,0001,KOSPI,2368.32,kis_api,2026-08-17T02:56:51+00:00
2023-01-18,000660,SK하이닉스,85100.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-19,0001,KOSPI,2380.34,kis_api,2026-08-17T02:56:51+00:00
2023-01-19,000660,SK하이닉스,85500.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-20,0001,KOSPI,2395.26,kis_api,2026-08-17T02:56:51+00:00
2023-01-20,000660,SK하이닉스,87600.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-25,0001,KOSPI,2428.57,kis_api,2026-08-17T02:56:51+00:00
2023-01-25,000660,SK하이닉스,91400.0,kis_api,2026-08-17T02:56:41+00:00
2023-01-26,0001,KOSPI,2468.65,kis_api,2026-08-17T02:56:51+00:00
2023-01-26,000660,SK하이닉스,92300.0,kis_api,2026-08-17T02:56:41+00:00
